Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
3276,2,4.74
3277,7,10.32
3278,0,0
3279,2,2.53
3280,96,182.043
3281,11,26.15
3282,12,21.6
3283,8,9.65
3284,20,42.012
3285,11,16.315
3286,0,0
3287,1,1.52
3289,4,6.7
3292,7,10.49
3293,4,9.835
3294,3,11.82
3300,37,66.633
3301,8,14.4
3302,1,1.08
3303,0,0
3304,24,47.212
3305,86,180.795
3309,0,0
3310,0,0
3311,10,13.482
3312,6,15.3
3314,10,15.71
3315,11,12.36
3317,1,2.04
3318,13,25.89
3319,2,5.63
3321,25,45.48
3322,2,3.15
3323,0,0
3324,4,4.47
3325,2,3.04
3328,40,53.912
3329,1,1.4
3330,1,1
3331,83,130.819
3332,26,32.662
3333,14,19.225
3334,10,19.986
3335,15,24.33
3337,310,492.029
3338,138,222.994
3340,246,388.611
3341,38,72.607
3342,71,118.779
3345,20,35.225
3350,362,573.687
3351,78,137.664
3352,162,277.17
3353,3,3.5
3355,48,81.499
3356,72,129.973
3357,29,48.857
3360,11,18.68
3361,6,9.25
3363,43,77.692
3364,18,29.379
3370,20,43.14
3371,21,43.599
3373,21,31.231
3374,4,6.74
3375,0,0
3377,69,112.05
3378,0,0
3379,2,2.04
3380,31,52.197
3381,14,21.21
3384,6,10.452
3385,9,12.83
3387,2,3.42
3388,5,6.64
3390,19,32.692
3391,4,4.77
3392,6,8.81
3393,30,39.55
3395,4,5.28
3396,37,50.205
3400,58,97.815
3401,46,82.493
3402,10,11.62
3407,5,13.49
3409,44,58.27
3412,8,12.67
3413,1,1.8
3414,44,50.1
3418,17,30.84
3419,15,29.5
3420,3,5.14
3423,2,3.054
3424,15,27.895
3427,23,38.345
3428,6,11.76
3429,322,514.9
3430,2,2.84
3431,41,67.159
3432,7,20.01
3433,6,9.12
3434,51,88.291
3435,46,67.874
3437,88,167.107
3438,17,33.385
3440,22,37.952
3441,7,9.58
3442,95,151.113
3444,127,211.385
3446,19,27.786
3447,14,22.273
3448,25,42.547
3450,111,150.707
3451,88,126.871
3453,30,46.104
3458,28,54.198
3460,41,55.847
3461,90,131.141
3462,26,41.607
3463,48,72.272
3464,12,19.126
3465,99,160.572
3467,10,17.11
3468,7,17.2
3469,4,6.94
3472,40,78.99
3475,7,12.18
3477,17,22.71
3478,31,65.52
3480,35,56.88
3482,3,3.24
3483,15,24.84
3485,4,7.18
3487,2,1.2
3488,2,1.92
3489,1,0.96
3490,2,1.705
3491,3,3.72
3494,3,5.1
3496,32,54.913
3498,31,52.42
3500,182,282.264
3501,30,45.847
3502,4,4.34
3505,47,74.607
3507,1,1.2
3509,1,2.45
3512,3,3.265
3515,17,33.56
3516,15,22.93
3517,37,63.311
3518,31,44.59
3520,1,1.52
3521,12,17.002
3522,1,2.97
3523,83,142.345
3525,22,31.515
3527,14,44.41
3529,1,5.4
3530,1,1.5
3531,1,1.4
3533,16,27.85
3537,16,46.705
3540,6,10.67
3542,1,1.4
3544,1,1.44
3546,1,1.17
3549,17,29.98
3550,391,589.78
3551,314,513.427
3552,5,7.09
3554,1,1.4
3555,115,201.333
3556,81,131.53
3557,8,10.56
3558,11,21.27
3559,11,12.52
3561,70,109.814
3562,9,14.63
3563,6,8.35
3564,202,337.174
3565,1,1.05
3566,11,21.45
3567,7,11.81
3568,24,44.64
3570,13,24.49
3571,11,32.51
3572,1,1.4
3573,6,10.44
3575,10,23.5
3576,0,0
3579,57,118.24
3580,18,25.77
3581,6,9.61
3583,0,0
3584,7,11.56
3585,48,87.87
3586,7,14.08
3588,3,6.73
3589,3,7.948
3590,6,14.45
3591,1,1.47
3594,6,11.1
3595,4,11.24
3596,0,0
3597,2,3.102
3599,0,0
3607,1,2.1
3608,38,62.085
3610,57,74.122
3612,68,80.394
3614,34,46.66
3616,117,163.44
3617,4,5.84
3618,8,10.83
3619,9,11.67
3620,204,277.08
3621,57,77.78
3622,2,2.13
3623,23,28.27
3624,11,12.05
3629,183,250.749
3630,406,549.106
3631,239,338.47
3632,5,18.49
3633,25,37.19
3634,38,58.29
3635,19,23.79
3636,133,171.47
3637,14,19.362
3638,38,49.045
3639,13,21.063
3640,20,37.42
3641,15,22.77
3643,2,2.7
3644,96,171.623
3646,16,21.7
3647,1,4.95
3649,8,7.655
3658,64,117.325
3659,9,13.85
3660,46,96.687
3661,2,4.454
